x,y,z,t
-0.190865,0.0296109,0.0340424,1.87
-0.191502,0.0277615,0.034037,1.88
-0.19212,0.025902,0.0340317,1.89
-0.192719,0.0240326,0.0340266,1.9
-0.1933,0.0221535,0.0340215,1.91
-0.193861,0.0202648,0.0340165,1.92
-0.194404,0.0183667,0.0340116,1.93
-0.194928,0.0164594,0.0340068,1.94
-0.195433,0.014543,0.0340021,1.95
-0.195918,0.0126178,0.0339976,1.96
-0.196384,0.0106839,0.0339931,1.97
-0.196831,0.00874138,0.0339887,1.98
-0.197258,0.00679056,0.0339845,1.99
-0.197666,0.00483155,0.0339803,2
-0.198054,0.00286456,0.0339763,2.01
-0.198423,0.000889746,0.0339723,2.02
-0.198771,-0.0010927,0.0339685,2.03
-0.1991,-0.0030826,0.0339648,2.04
-0.199409,-0.00507976,0.0339612,2.05
-0.199698,-0.00708401,0.0339577,2.06
-0.199966,-0.00909515,0.0339543,2.07
-0.200215,-0.011113,0.033951,2.08
-0.200443,-0.0131374,0.0339478,2.09
-0.200651,-0.0151681,0.0339447,2.1
-0.200839,-0.0172049,0.0339418,2.11
-0.201006,-0.0192477,0.0339389,2.12
-0.201153,-0.0212963,0.0339362,2.13
-0.20128,-0.0233504,0.0339335,2.14
-0.201386,-0.0254099,0.033931,2.15
-0.201471,-0.0274746,0.0339286,2.16
-0.201535,-0.0295443,0.0339263,2.17
-0.201579,-0.0316187,0.0339242,2.18
-0.201602,-0.0336977,0.0339221,2.19
-0.201604,-0.0357811,0.0339202,2.2
-0.201586,-0.0378687,0.0339183,2.21
-0.201546,-0.0399603,0.0339166,2.22
-0.201486,-0.0420557,0.033915,2.23
-0.201405,-0.0441547,0.0339135,2.24
-0.201302,-0.0462571,0.0339121,2.25
-0.201179,-0.0483626,0.0339109,2.26
-0.201034,-0.0504711,0.0339097,2.27
-0.200869,-0.0525824,0.0339087,2.28
-0.200682,-0.0546962,0.0339078,2.29
-0.200474,-0.0568124,0.033907,2.3
-0.200245,-0.0589308,0.0339063,2.31
-0.199995,-0.0610511,0.0339058,2.32
-0.199723,-0.0631732,0.0339053,2.33
-0.19943,-0.0652967,0.033905,2.34
-0.199117,-0.0674216,0.0339048,2.35
-0.198781,-0.0695477,0.0339047,2.36
-0.198425,-0.0716746,0.0339048,2.37
-0.198047,-0.0738022,0.0339049,2.38
-0.197648,-0.0759302,0.0339052,2.39
-0.197228,-0.0780586,0.0339056,2.4
-0.196787,-0.080187,0.0339061,2.41
-0.196324,-0.0823152,0.0339067,2.42
-0.19584,-0.0844431,0.0339075,2.43
-0.195334,-0.0865704,0.0339083,2.44
-0.194808,-0.0886969,0.0339093,2.45
-0.19426,-0.0908223,0.0339104,2.46
-0.193691,-0.0929466,0.0339117,2.47
-0.1931,-0.0950694,0.033913,2.48
-0.192489,-0.0971905,0.0339145,2.49
-0.191856,-0.0993098,0.0339161,2.5
-0.191202,-0.101427,0.0339178,2.51
-0.190527,-0.103542,0.0339196,2.52
-0.189831,-0.105654,0.0339216,2.53
-0.189113,-0.107764,0.0339237,2.54
-0.188375,-0.10987,0.0339259,2.55
-0.187616,-0.111974,0.0339282,2.56
-0.186835,-0.114074,0.0339306,2.57
-0.186034,-0.116171,0.0339332,2.58
-0.185211,-0.118263,0.0339359,2.59
-0.184368,-0.120352,0.0339387,2.6
-0.183504,-0.122436,0.0339416,2.61
-0.182619,-0.124516,0.0339446,2.62
-0.181713,-0.126591,0.0339478,2.63
-0.180787,-0.128662,0.0339511,2.64
-0.17984,-0.130727,0.0339545,2.65
-0.178872,-0.132787,0.033958,2.66
-0.177884,-0.134841,0.0339617,2.67
-0.176875,-0.13689,0.0339655,2.68
-0.175846,-0.138932,0.0339693,2.69
-0.174796,-0.140968,0.0339734,2.7
-0.173726,-0.142998,0.0339775,2.71
